Park,Apr-22
Abraham Lincoln Birthplace NHP,"25,848"
Acadia NP,"105,126"
Adams NHP,262
African Burial Ground NM,"2,625"
Agate Fossil Beds NM,764
Alibates Flint Quarries NM,595
Allegheny Portage Railroad NHS,"15,586"
Amistad NRA,"104,386"
Andersonville NHS,"6,164"
Andrew Johnson NHS,"3,270"
Antietam NB,"11,837"
Apostle Islands NL,"4,456"
Appomattox Court House NHP,"12,360"
Arches NP,"148,996"
Arkansas Post NMEM,"2,258"
Arlington House The R.E. Lee MEM,"41,264"
Assateague Island NS,"166,058"
Aztec Ruins NM,"5,447"
Badlands NP,"34,943"
Bandelier NM,"30,063"
Bent's Old Fort NHS,"2,000"
Bering Land Bridge NPRES,216
Big Bend NP,"59,337"
Big Cypress NPRES,"271,226"
Big Hole NB,"1,061"
Big South Fork NRRA,"80,793"
Big Thicket NPRES,"21,932"
Bighorn Canyon NRA,"15,105"
Biscayne NP,"63,574"
Black Canyon of the Gunnison NP,"13,755"
Blue Ridge PKWY,"1,114,958"
Booker T. Washington NM,"2,069"
Boston African American NHS,"6,120"
Boston NHP,"154,278"
Brown v. Board of Education NHP,"1,390"
Bryce Canyon NP,"236,812"
Buck Island Reef NM,"4,896"
Buffalo NR,"93,086"
Cabrillo NM,"63,833"
Camp Nelson NM,"1,533"
Canaveral NS,"203,907"
Cane River Creole NHP,"1,879"
Canyon de Chelly NM,"33,408"
Canyonlands NP,"99,206"
Cape Cod NS,"256,095"
Cape Hatteras NS,"211,064"
Cape Krusenstern NM,780
Cape Lookout NS,"48,607"
Capitol Reef NP,"128,061"
Capulin Volcano NM,"4,452"
Carl Sandburg Home NHS,"9,955"
Carlsbad Caverns NP,"37,869"
Casa Grande Ruins NM,"5,934"
Castillo de San Marcos NM,"57,107"
Castle Clinton NM,"312,360"
Catoctin Mountain Park,"47,357"
Cedar Breaks NM,"22,290"
Cesar E. Chavez NM,"1,242"
Chaco Culture NHP,"5,782"
Chamizal NMEM,"1,772"
Channel Islands NP,"30,769"
Charles Pinckney NHS,"1,228"
Charles Young Buffalo Soldiers NM,291
Chattahoochee River NRA,"311,301"
Chesapeake & Ohio Canal NHP,"444,134"
Chickamauga & Chattanooga NMP,"92,225"
Chickasaw NRA,"75,040"
Chiricahua NM,"8,157"
Christiansted NHS,"8,134"
City of Rocks NRES,"5,914"
Colonial NHP,"286,326"
Colorado NM,"45,111"
Congaree NP,"25,618"
Coronado NMEM,"11,774"
Cowpens NB,"23,293"
Crater Lake NP,"14,779"
Craters of the Moon NM & PRES,"12,319"
Cumberland Gap NHP,"56,085"
Cumberland Island NS,"8,158"
Curecanti NRA,"32,113"
Cuyahoga Valley NP,"233,050"
Dayton Aviation Heritage NHP,"6,689"
De Soto NMEM,"18,237"
Death Valley NP,"108,984"
Delaware Water Gap NRA,"312,188"
Denali NP & PRES,"4,237"
Devils Tower NM,"10,530"
Dinosaur NM,"19,320"
Dry Tortugas NP,"7,562"
Dwight D. Eisenhower MEM,"102,933"
Edgar Allan Poe NHS,634
Effigy Mounds NM,"2,339"
Eisenhower NHS,"1,509"
El Malpais NM,"17,186"
El Morro NM,"6,369"
Eleanor Roosevelt NHS,"1,464"
Eugene O'Neill NHS,"1,632"
Everglades NP,"132,171"
Federal Hall NMEM,0
Fire Island NS,"14,911"
First Ladies NHS,524
Flight 93 NMEM,"27,915"
Florissant Fossil Beds NM,"4,355"
Ford's Theatre NHS,"43,245"
Fort Bowie NHS,925
Fort Caroline NMEM,"32,712"
Fort Davis NHS,"5,081"
Fort Donelson NB,"16,772"
Fort Frederica NM,"24,279"
Fort Laramie NHS,"2,002"
Fort Larned NHS,"2,998"
Fort Matanzas NM,"63,529"
Fort McHenry NM & HS,"11,524"
Fort Necessity NB,"10,124"
Fort Point NHS,"77,969"
Fort Pulaski NM,"42,930"
Fort Raleigh NHS,"24,040"
Fort Scott NHS,"1,763"
Fort Smith NHS,"8,535"
Fort Stanwix NM,"3,481"
Fort Sumter and Fort Moultrie NHP,"50,721"
Fort Union NM,522
Fort Union Trading Post NHS,187
Fort Vancouver NHS,"81,758"
Fort Washington Park,"41,443"
Fossil Butte NM,625
Franklin Delano Roosevelt MEM,"432,373"
Frederick Douglass NHS,0
Frederick Law Olmsted NHS,"1,386"
Fredericksburg & Spotsylvania NMP,"61,650"
Friendship Hill NHS,"1,602"
Gateway Arch NP,"102,741"
Gateway NRA,"517,465"
Gauley River NRA,"10,715"
General Grant NMEM,"8,934"
George Rogers Clark NHP,"8,533"
George Washington Birthplace NM,"10,392"
George Washington Carver NM,"4,029"
George Washington MEM PKWY,"736,544"
Gettysburg NMP,"85,755"
Gila Cliff Dwellings NM,"4,451"
Glacier Bay NP & PRES,"3,813"
Glacier NP,"36,518"
Glen Canyon NRA,"220,431"
Golden Gate NRA,"1,284,656"
Golden Spike NHP,"3,735"
Grand Canyon NP,"438,576"
Grand Portage NM,"2,447"
Grand Teton NP,"67,541"
Grant-Kohrs Ranch NHS,987
Great Basin NP,"9,416"
Great Sand Dunes NP & PRES,"30,117"
Great Smoky Mountains NP,"1,014,878"
Greenbelt Park,"7,389"
Guadalupe Mountains NP,"26,643"
Guilford Courthouse NMP,"35,281"
Gulf Islands NS,"443,882"
Hagerman Fossil Beds NM,"1,304"
Haleakala NP,"89,299"
Hamilton Grange NMEM,"3,043"
Hampton NHS,955
Harpers Ferry NHP,"46,421"
Harry S Truman NHS,"1,801"
Hawaii Volcanoes NP,"117,463"
Herbert Hoover NHS,"6,424"
Home of Franklin D. Roosevelt NHS,"7,688"
Homestead NHP,"3,179"
Hopewell Culture NHP,"3,989"
Hopewell Furnace NHS,"5,992"
Horseshoe Bend NMP,"5,934"
Hot Springs NP,"290,655"
Hovenweep NM,"3,589"
Hubbell Trading Post NHS,"3,541"
Independence NHP,"237,661"
Indiana Dunes NP,"141,437"
Isle Royale NP,37
James A. Garfield NHS,"2,115"
Jean Lafitte NHP & PRES,"29,001"
Jewel Cave NM,"1,800"
Jimmy Carter NHP,"3,746"
"John D. Rockefeller, Jr. MEM PKWY","2,476"
John Day Fossil Beds NM,"14,398"
John Muir NHS,"3,578"
Johnstown Flood NMEM,"10,243"
Joshua Tree NP,"358,701"
Kalaupapa NHP,"3,786"
Kaloko Honokohau NHP,"24,931"
Katahdin Woods and Waters NM,539
Katmai NP & PRES,20
Kenai Fjords NP,429
Kennesaw Mountain NBP,"115,172"
Keweenaw NHP,245
Kings Canyon NP,"36,642"
Kings Mountain NMP,"25,340"
Klondike Gold Rush NHP Alaska,547
Klondike Gold Rush NHP Seattle,"3,827"
Knife River Indian Villages NHS,242
Kobuk Valley NP,880
Korean War Veterans Memorial,"551,995"
Lake Chelan NRA,"2,382"
Lake Clark NP & PRES,26
Lake Mead NRA,"505,452"
Lake Meredith NRA,"146,859"
Lake Roosevelt NRA,"92,383"
Lassen Volcanic NP,"13,539"
Lava Beds NM,"7,973"
LBJ Memorial Grove on the Potomac,"16,200"
Lewis & Clark NHP,"20,629"
Lincoln Boyhood NMEM,"4,651"
Lincoln Home NHS,"16,537"
Lincoln Memorial,"977,227"
Little Bighorn Battlefield NM,"5,117"
Little River Canyon NPRES,"67,702"
Little Rock Central High School NHS,"8,354"
Longfellow House Washington's HQ NHS,"5,303"
Lowell NHP,"7,473"
Lyndon B. Johnson NHP,"11,728"
Maggie L. Walker NHS,508
Mammoth Cave NP,"71,387"
Manassas NBP,"62,338"
Manhattan Project NHP,"2,131"
Manzanar NHS,"10,780"
Marsh-Billings-Rockefeller NHP,"2,082"
"Martin Luther King, Jr. Memorial","412,469"
"Martin Luther King, Jr. NHP","36,344"
Martin Van Buren NHS,342
Mary McLeod Bethune Council House NHS,92
Medgar and Myrlie Evers Home NM,"1,409"
Mesa Verde NP,"30,910"
Minidoka NHS,449
Minute Man NHP,"106,650"
Minuteman Missile NHS,"3,961"
Mississippi NRRA,"22,040"
Missouri NRR,"8,621"
Mojave NPRES,"80,839"
Monocacy NB,"13,142"
Montezuma Castle NM,"47,164"
Moores Creek NB,"5,176"
Morristown NHP,"27,929"
Mount Rainier NP,"20,282"
Mount Rushmore NMEM,"60,937"
Muir Woods NM,"71,138"
Natchez NHP,"6,082"
Natchez Trace PKWY,"599,239"
National Capital Parks Central,"101,518"
National Capital Parks East,"116,085"
National Park of American Samoa,0
Natural Bridges NM,"11,868"
Navajo NM,"4,319"
New Bedford Whaling NHP,666
New Orleans Jazz NHP,"3,940"
New River Gorge NP & PRES,"117,824"
Nez Perce NHP,"26,343"
Nicodemus NHS,695
Ninety Six NHS,"12,340"
Niobrara NSR,"1,554"
Noatak NPRES,880
North Cascades NP,66
Obed W&SR,"26,696"
Ocmulgee Mounds NHP,"15,255"
Olympic NP,"92,420"
Oregon Caves NM & PRES,"2,900"
Organ Pipe Cactus NM,"7,276"
Ozark NSR,"64,531"
Padre Island NS,"43,128"
Palo Alto Battlefield NHP,"19,530"
Paterson Great Falls NHP,"18,011"
Pea Ridge NMP,"5,048"
Pearl Harbor NMEM,"138,232"
Pecos NHP,"5,683"
Perry's Victory & Intl. Peace MEM,"1,483"
Petersburg NB,"17,871"
Petrified Forest NP,"47,081"
Petroglyph NM,"34,341"
Pictured Rocks NL,"11,652"
Pinnacles NP,"23,642"
Pipe Spring NM,"2,785"
Pipestone NM,"3,870"
Piscataway Park,"20,266"
Point Reyes NS,"193,344"
Port Chicago Naval Magazine NMEM,0
President W.J. Clinton Birthplace Home NHS,537
President's Park,"107,865"
Prince William Forest Park,"21,880"
Pu'uhonua o Honaunau NHP,"26,338"
Pu'ukohola Heiau NHS,"3,258"
Rainbow Bridge NM,0
Reconstruction Era NHP,"2,260"
Redwood NP,"34,053"
Richmond NBP,"14,462"
Rio Grande W&SR,12
River Raisin NBP,"17,746"
Rock Creek Park,"151,837"
Rocky Mountain NP,"153,666"
Roger Williams NMEM,"2,157"
Rosie The Riveter WWII Home Front NHP,"3,320"
Ross Lake NRA,"12,096"
Russell Cave NM,"1,686"
Sagamore Hill NHS,"8,761"
Saguaro NP,"109,500"
Saint Croix Island IHS,307
Saint Croix NSR,"15,781"
Saint Paul's Church NHS,350
Saint-Gaudens NHP,800
Salem Maritime NHS,"12,980"
Salinas Pueblo Missions NM,"3,465"
Salt River Bay NHP & Ecological Pres,"2,030"
San Antonio Missions NHP,"133,658"
San Francisco Maritime NHP,"258,099"
San Juan Island NHP,"36,366"
San Juan NHS,"94,304"
Sand Creek Massacre NHS,441
Santa Monica Mountains NRA,"72,916"
Saratoga NHP,"3,088"
Saugus Iron Works NHS,"1,946"
Scotts Bluff NM,"11,080"
Sequoia NP,"86,412"
Shenandoah NP,"115,883"
Shiloh NMP,"50,123"
Sitka NHP,"3,722"
Sleeping Bear Dunes NL,"28,594"
Springfield Armory NHS,"1,172"
Statue of Liberty NM,"285,545"
Steamtown NHS,"4,395"
Stones River NB,"42,378"
Stonewall NM,766
Sunset Crater Volcano NM,"8,336"
Tallgrass Prairie NPRES,"1,615"
Thaddeus Kosciuszko NMEM,191
Theodore Roosevelt Birthplace NHS,100
Theodore Roosevelt Inaugural NHS,"1,069"
Theodore Roosevelt Island,"15,000"
Theodore Roosevelt NP,"7,366"
Thomas Edison NHP,"3,545"
Thomas Jefferson MEM,"411,108"
Thomas Stone NHS,579
Timpanogos Cave NM,"3,942"
Timucuan EHP,"92,158"
Tonto NM,"3,623"
Tule Springs Fossil Beds NM,"3,145"
Tumacacori NHP,"4,457"
Tuskegee Airmen NHS,"1,559"
Tuskegee Institute NHS,969
Tuzigoot NM,"14,473"
Ulysses S. Grant NHS,"3,166"
Upper Delaware S&RR,"8,999"
Valles Caldera NPRES,"5,002"
Valley Forge NHP,"154,272"
Vanderbilt Mansion NHS,"32,203"
Vicksburg NMP,"32,482"
Vietnam Veterans MEM,"683,338"
Virgin Islands NP,"17,080"
Voyageurs NP,172
Waco Mammoth NM,"8,907"
Walnut Canyon NM,"21,206"
War in the Pacific NHP,"32,867"
Washington Monument,"18,363"
Washita Battlefield NHS,"1,306"
Weir Farm NHP,"2,087"
Whiskeytown NRA,"204,866"
White House,"67,595"
White Sands NP,"75,417"
Whitman Mission NHS,"4,977"
William Howard Taft NHS,"2,288"
Wilson's Creek NB,"15,756"
Wind Cave NP,"35,600"
Wolf Trap NP for the Performing Arts,"7,674"
Women's Rights NHP,"1,190"
World War I Memorial,"119,508"
World War II Memorial,"527,147"
Wrangell-St. Elias NP & PRES,520
Wright Brothers NMEM,"50,571"
Wupatki NM,"17,672"
Yellowstone NP,"80,283"
Yosemite NP,"285,601"
Yukon-Charley Rivers NPRES,0
Zion NP,"491,625"
"4,909",
"45,770",
"12,387",
"523,680",
"380,905",
9,
"539,172",
