Park,Oct-22
Abraham Lincoln Birthplace NHP,"21,857"
Acadia NP,"521,646"
Adams NHP,"2,207"
African Burial Ground NM,"3,173"
Agate Fossil Beds NM,"1,172"
Alagnak Wild River,0
Alibates Flint Quarries NM,"1,099"
Allegheny Portage Railroad NHS,"19,989"
Amistad NRA,"81,787"
Andersonville NHS,"4,833"
Andrew Johnson NHS,"5,123"
Aniakchak NM & PRES,2
Antietam NB,"15,181"
Apostle Islands NL,"19,142"
Appomattox Court House NHP,"8,029"
Arches NP,"146,986"
Arkansas Post NMEM,"1,665"
Arlington House The R.E. Lee MEM,"29,085"
Assateague Island NS,"144,353"
Aztec Ruins NM,"4,326"
Badlands NP,"61,115"
Bandelier NM,"23,178"
Bent's Old Fort NHS,"1,659"
Bering Land Bridge NPRES,422
Big Bend NP,"45,546"
Big Cypress NPRES,"153,852"
Big Hole NB,"7,914"
Big South Fork NRRA,"91,465"
Big Thicket NPRES,"23,641"
Bighorn Canyon NRA,"8,300"
Biscayne NP,"44,757"
Black Canyon of the Gunnison NP,"23,413"
Blue Ridge PKWY,"2,179,741"
Bluestone NSR,"1,067"
Booker T. Washington NM,"2,245"
Boston African American NHS,"15,881"
Boston Harbor Islands NRA,"2,166"
Boston NHP,"285,501"
Brown v. Board of Education NHP,"1,327"
Bryce Canyon NP,"233,647"
Buck Island Reef NM,"2,457"
Buffalo NR,"108,175"
Cabrillo NM,"52,312"
Camp Nelson NM,"1,704"
Canaveral NS,"169,750"
Cane River Creole NHP,"1,399"
Canyon de Chelly NM,"35,924"
Canyonlands NP,"91,788"
Cape Cod NS,"366,049"
Cape Hatteras NS,"230,135"
Cape Krusenstern NM,"1,748"
Cape Lookout NS,"43,607"
Capitol Reef NP,"140,119"
Capulin Volcano NM,"6,175"
Carl Sandburg Home NHS,"5,048"
Carlsbad Caverns NP,"32,267"
Casa Grande Ruins NM,"6,699"
Castillo de San Marcos NM,"43,844"
Castle Clinton NM,"319,653"
Catoctin Mountain Park,"52,403"
Cedar Breaks NM,"87,041"
Cesar E. Chavez NM,935
Chaco Culture NHP,"5,301"
Chamizal NMEM,"4,135"
Channel Islands NP,"27,647"
Charles Pinckney NHS,834
Charles Young Buffalo Soldiers NM,241
Chattahoochee River NRA,"279,372"
Chesapeake & Ohio Canal NHP,"368,091"
Chickamauga & Chattanooga NMP,"83,866"
Chickasaw NRA,"62,564"
Chiricahua NM,"5,484"
Christiansted NHS,"7,863"
City of Rocks NRES,"11,871"
Clara Barton NHS,266
Colonial NHP,"246,443"
Colorado NM,"43,808"
Congaree NP,"16,994"
Coronado NMEM,"9,905"
Cowpens NB,"18,570"
Crater Lake NP,"39,989"
Craters of the Moon NM & PRES,"19,536"
Cumberland Gap NHP,"83,354"
Cumberland Island NS,"5,442"
Curecanti NRA,"72,474"
Cuyahoga Valley NP,"318,589"
Dayton Aviation Heritage NHP,"6,435"
De Soto NMEM,"14,131"
Death Valley NP,"53,764"
Delaware Water Gap NRA,"361,253"
Denali NP & PRES,"3,191"
Devils Postpile NM,"11,500"
Devils Tower NM,"28,766"
Dinosaur NM,"21,332"
Dry Tortugas NP,"3,603"
Dwight D. Eisenhower MEM,"38,247"
Edgar Allan Poe NHS,"1,571"
Effigy Mounds NM,"9,058"
Eisenhower NHS,938
El Malpais NM,"15,212"
El Morro NM,"5,320"
Eleanor Roosevelt NHS,"3,857"
Eugene O'Neill NHS,"1,570"
Everglades NP,"44,197"
Federal Hall NMEM,"5,863"
Fire Island NS,"29,347"
First Ladies NHS,616
Flight 93 NMEM,"50,938"
Florissant Fossil Beds NM,"5,642"
Ford's Theatre NHS,"28,788"
Fort Bowie NHS,459
Fort Caroline NMEM,"29,445"
Fort Davis NHS,"3,804"
Fort Donelson NB,"16,268"
Fort Frederica NM,"17,612"
Fort Laramie NHS,"3,362"
Fort Larned NHS,"2,200"
Fort Matanzas NM,"50,290"
Fort McHenry NM & HS,"28,408"
Fort Necessity NB,"45,054"
Fort Point NHS,"85,628"
Fort Pulaski NM,"39,269"
Fort Raleigh NHS,"16,206"
Fort Scott NHS,"3,641"
Fort Smith NHS,"13,883"
Fort Stanwix NM,"6,982"
Fort Sumter and Fort Moultrie NHP,"33,688"
Fort Union NM,903
Fort Union Trading Post NHS,596
Fort Vancouver NHS,"58,835"
Fort Washington Park,"35,166"
Fossil Butte NM,"1,505"
Franklin Delano Roosevelt MEM,"273,173"
Frederick Douglass NHS,0
Frederick Law Olmsted NHS,"1,297"
Fredericksburg & Spotsylvania NMP,"80,550"
Friendship Hill NHS,"1,788"
Gates of the Arctic NP & PRES,0
Gateway Arch NP,"111,471"
Gateway NRA,"726,679"
Gauley River NRA,"22,048"
General Grant NMEM,"7,119"
George Rogers Clark NHP,"11,846"
George Washington Birthplace NM,"10,367"
George Washington Carver NM,"3,500"
George Washington MEM PKWY,"694,550"
Gettysburg NMP,"88,445"
Gila Cliff Dwellings NM,"4,995"
Glacier Bay NP & PRES,"102,993"
Glacier NP,"115,740"
Glen Canyon NRA,"293,541"
Golden Gate NRA,"1,281,009"
Golden Spike NHP,"3,448"
Governors Island NM,"9,395"
Grand Canyon NP,"442,697"
Grand Portage NM,"7,620"
Grand Teton NP,"196,727"
Grant-Kohrs Ranch NHS,"5,009"
Great Basin NP,"15,358"
Great Sand Dunes NP & PRES,"40,677"
Great Smoky Mountains NP,"1,624,908"
Greenbelt Park,"5,962"
Guadalupe Mountains NP,"23,078"
Guilford Courthouse NMP,"38,082"
Gulf Islands NS,"420,595"
Hagerman Fossil Beds NM,"1,910"
Haleakala NP,"96,761"
Hamilton Grange NMEM,"5,088"
Hampton NHS,"1,175"
Harpers Ferry NHP,"52,263"
Harry S Truman NHS,"2,689"
Hawaii Volcanoes NP,"121,585"
Herbert Hoover NHS,"9,915"
Home of Franklin D. Roosevelt NHS,"15,381"
Homestead NHP,"4,827"
Hopewell Culture NHP,"6,539"
Hopewell Furnace NHS,"5,371"
Horseshoe Bend NMP,"5,565"
Hot Springs NP,"231,618"
Hovenweep NM,"3,578"
Hubbell Trading Post NHS,"4,785"
Independence NHP,"240,676"
Indiana Dunes NP,"232,067"
Isle Royale NP,219
James A. Garfield NHS,"3,552"
Jean Lafitte NHP & PRES,"20,390"
Jewel Cave NM,"2,793"
Jimmy Carter NHP,"3,570"
"John D. Rockefeller, Jr. MEM PKWY","88,749"
John Day Fossil Beds NM,"15,572"
John F. Kennedy NHS,0
John Muir NHS,"3,083"
Johnstown Flood NMEM,"18,771"
Joshua Tree NP,"222,629"
Kalaupapa NHP,"3,344"
Kaloko Honokohau NHP,"20,227"
Katahdin Woods and Waters NM,"3,810"
Katmai NP & PRES,250
Kenai Fjords NP,"6,496"
Kennesaw Mountain NBP,"125,659"
Keweenaw NHP,"1,052"
Kings Canyon NP,"53,287"
Kings Mountain NMP,"18,414"
Klondike Gold Rush NHP Alaska,"3,379"
Klondike Gold Rush NHP Seattle,"4,765"
Knife River Indian Villages NHS,540
Kobuk Valley NP,"2,049"
Korean War Veterans Memorial,"383,215"
Lake Chelan NRA,"3,097"
Lake Clark NP & PRES,287
Lake Mead NRA,"469,811"
Lake Meredith NRA,"60,338"
Lake Roosevelt NRA,"56,218"
Lassen Volcanic NP,"41,193"
Lava Beds NM,"10,109"
LBJ Memorial Grove on the Potomac,"27,675"
Lewis & Clark NHP,"24,268"
Lincoln Boyhood NMEM,"2,670"
Lincoln Home NHS,"14,080"
Lincoln Memorial,"687,520"
Little Bighorn Battlefield NM,"7,274"
Little River Canyon NPRES,"80,091"
Little Rock Central High School NHS,"7,137"
Longfellow House Washington's HQ NHS,"8,156"
Lowell NHP,"9,802"
Lyndon B. Johnson NHP,"9,314"
Maggie L. Walker NHS,366
Mammoth Cave NP,"62,095"
Manassas NBP,"56,895"
Manhattan Project NHP,"4,120"
Manzanar NHS,"10,632"
Marsh-Billings-Rockefeller NHP,"13,832"
"Martin Luther King, Jr. Memorial","265,941"
"Martin Luther King, Jr. NHP","14,928"
Martin Van Buren NHS,"2,252"
Mary McLeod Bethune Council House NHS,140
Medgar and Myrlie Evers Home NM,366
Mesa Verde NP,"49,242"
Minidoka NHS,323
Minute Man NHP,"130,209"
Minuteman Missile NHS,"7,214"
Mississippi NRRA,"24,591"
Missouri NRR,"13,581"
Mojave NPRES,"69,355"
Monocacy NB,"12,203"
Montezuma Castle NM,"37,141"
Moores Creek NB,"4,448"
Morristown NHP,"16,908"
Mount Rainier NP,"152,168"
Mount Rushmore NMEM,"130,608"
Muir Woods NM,"66,677"
Natchez NHP,"10,454"
Natchez Trace PKWY,"534,620"
National Capital Parks Central,"78,259"
National Capital Parks East,"120,591"
National Park of American Samoa,238
Natural Bridges NM,"9,558"
Navajo NM,"4,559"
New Bedford Whaling NHP,"1,563"
New Orleans Jazz NHP,"2,610"
New River Gorge NP & PRES,"168,930"
Nez Perce NHP,"35,154"
Nicodemus NHS,330
Ninety Six NHS,"12,512"
Niobrara NSR,"1,922"
Noatak NPRES,"1,848"
North Cascades NP,"2,590"
Obed W&SR,"24,990"
Ocmulgee Mounds NHP,"10,685"
Olympic NP,"151,732"
Oregon Caves NM & PRES,"9,339"
Organ Pipe Cactus NM,"11,727"
Ozark NSR,"75,355"
Padre Island NS,"43,426"
Palo Alto Battlefield NHP,"11,010"
Paterson Great Falls NHP,"15,047"
Pea Ridge NMP,"7,091"
Pearl Harbor NMEM,"120,482"
Pecos NHP,"5,812"
Pennsylvania Avenue NHS,"9,827"
Perry's Victory & Intl. Peace MEM,"3,286"
Petersburg NB,"10,529"
Petrified Forest NP,"51,738"
Petroglyph NM,"42,226"
Pictured Rocks NL,"58,518"
Pinnacles NP,"17,184"
Pipe Spring NM,"2,786"
Pipestone NM,"8,080"
Piscataway Park,"19,617"
Point Reyes NS,"191,221"
Port Chicago Naval Magazine NMEM,171
President W.J. Clinton Birthplace Home NHS,500
President's Park,"75,121"
Prince William Forest Park,"38,036"
Pu'uhonua o Honaunau NHP,"28,107"
Pu'ukohola Heiau NHS,"1,904"
Rainbow Bridge NM,5
Reconstruction Era NHP,"1,541"
Redwood NP,"38,004"
Richmond NBP,"18,358"
Rio Grande W&SR,7
River Raisin NBP,"22,338"
Rock Creek Park,"165,072"
Rocky Mountain NP,"474,957"
Roger Williams NMEM,"4,243"
Rosie The Riveter WWII Home Front NHP,"3,263"
Ross Lake NRA,"113,593"
Russell Cave NM,"1,817"
Sagamore Hill NHS,"6,582"
Saguaro NP,"63,252"
Saint Croix Island IHS,"1,522"
Saint Croix NSR,"58,291"
Saint Paul's Church NHS,"2,040"
Saint-Gaudens NHP,"4,409"
Salem Maritime NHS,"197,120"
Salinas Pueblo Missions NM,"4,107"
Salt River Bay NHP & Ecological Pres,489
San Antonio Missions NHP,"99,321"
San Francisco Maritime NHP,"309,107"
San Juan Island NHP,"33,029"
San Juan NHS,"57,364"
Sand Creek Massacre NHS,644
Santa Monica Mountains NRA,"64,965"
Saratoga NHP,"6,605"
Saugus Iron Works NHS,"4,362"
Scotts Bluff NM,"13,553"
Sequoia NP,"96,663"
Shenandoah NP,"298,672"
Shiloh NMP,"35,964"
Sitka NHP,"2,519"
Sleeping Bear Dunes NL,"100,952"
Springfield Armory NHS,"1,478"
Statue of Liberty NM,"289,416"
Steamtown NHS,"6,591"
Stones River NB,"47,113"
Stonewall NM,"2,075"
Sunset Crater Volcano NM,"8,556"
Tallgrass Prairie NPRES,"3,070"
Thaddeus Kosciuszko NMEM,290
Theodore Roosevelt Birthplace NHS,"1,389"
Theodore Roosevelt Inaugural NHS,"2,800"
Theodore Roosevelt Island,"20,750"
Theodore Roosevelt NP,"50,215"
Thomas Edison NHP,"2,404"
Thomas Jefferson MEM,"220,756"
Thomas Stone NHS,413
Timpanogos Cave NM,"18,853"
Timucuan EHP,"90,054"
Tonto NM,"2,294"
Tule Springs Fossil Beds NM,"4,788"
Tumacacori NHP,"2,169"
Tuskegee Airmen NHS,"1,296"
Tuskegee Institute NHS,690
Tuzigoot NM,"11,073"
Ulysses S. Grant NHS,"3,026"
Upper Delaware S&RR,"10,578"
Valles Caldera NPRES,"8,203"
Valley Forge NHP,"176,533"
Vanderbilt Mansion NHS,"36,758"
Vicksburg NMP,"36,812"
Vietnam Veterans MEM,"485,222"
Virgin Islands NP,"11,808"
Voyageurs NP,"10,801"
Waco Mammoth NM,"7,937"
Walnut Canyon NM,"15,800"
War in the Pacific NHP,"28,346"
Washington Monument,"20,552"
Washita Battlefield NHS,"1,524"
Weir Farm NHP,"6,546"
Whiskeytown NRA,"99,678"
White House,"51,530"
White Sands NP,"57,639"
Whitman Mission NHS,"5,008"
William Howard Taft NHS,"2,869"
Wilson's Creek NB,"18,092"
Wind Cave NP,"31,722"
Wolf Trap NP for the Performing Arts,"7,486"
Women's Rights NHP,"3,983"
World War I Memorial,"66,809"
World War II Memorial,"438,624"
Wrangell-St. Elias NP & PRES,530
Wright Brothers NMEM,"33,068"
Wupatki NM,"16,522"
Yellowstone NP,"236,567"
Yosemite NP,"381,612"
Yukon-Charley Rivers NPRES,0
Zion NP,"459,697"
