Park,Sep-22
Abraham Lincoln Birthplace NHP,"31,130"
Acadia NP,"697,292"
Adams NHP,"1,811"
African Burial Ground NM,"3,134"
Agate Fossil Beds NM,"2,501"
Alagnak Wild River,10
Alibates Flint Quarries NM,624
Allegheny Portage Railroad NHS,"19,622"
Amistad NRA,"88,560"
Andersonville NHS,"3,106"
Andrew Johnson NHS,"4,943"
Aniakchak NM & PRES,16
Antietam NB,"13,945"
Apostle Islands NL,"34,720"
Appomattox Court House NHP,"8,454"
Arches NP,"158,728"
Arkansas Post NMEM,"1,403"
Arlington House The R.E. Lee MEM,"21,456"
Assateague Island NS,"260,634"
Aztec Ruins NM,"4,259"
Badlands NP,"121,571"
Bandelier NM,"20,363"
Bent's Old Fort NHS,"3,475"
Bering Land Bridge NPRES,61
Big Bend NP,"23,710"
Big Cypress NPRES,"147,270"
Big Hole NB,"7,719"
Big South Fork NRRA,"76,449"
Big Thicket NPRES,"24,009"
Bighorn Canyon NRA,"23,369"
Biscayne NP,"45,857"
Black Canyon of the Gunnison NP,"42,758"
Blue Ridge PKWY,"1,939,023"
Bluestone NSR,"2,270"
Booker T. Washington NM,"1,222"
Boston African American NHS,"34,623"
Boston Harbor Islands NRA,"5,052"
Boston NHP,"253,262"
Brown v. Board of Education NHP,"1,069"
Bryce Canyon NP,"336,588"
Buck Island Reef NM,"1,737"
Buffalo NR,"94,025"
Cabrillo NM,"52,568"
Camp Nelson NM,"1,611"
Canaveral NS,"159,502"
Cane River Creole NHP,"1,044"
Canyon de Chelly NM,"30,291"
Canyonlands NP,"86,326"
Cape Cod NS,"470,998"
Cape Hatteras NS,"358,962"
Cape Krusenstern NM,"1,550"
Cape Lookout NS,"63,551"
Capitol Reef NP,"130,243"
Capulin Volcano NM,"7,798"
Carl Sandburg Home NHS,"4,337"
Carlsbad Caverns NP,"23,494"
Casa Grande Ruins NM,"5,022"
Castillo de San Marcos NM,"36,393"
Castle Clinton NM,"288,319"
Catoctin Mountain Park,"28,715"
Cedar Breaks NM,"101,428"
Cesar E. Chavez NM,855
Chaco Culture NHP,"4,951"
Chamizal NMEM,"2,644"
Channel Islands NP,"31,120"
Charles Pinckney NHS,"1,787"
Charles Young Buffalo Soldiers NM,401
Chattahoochee River NRA,"312,764"
Chesapeake & Ohio Canal NHP,"407,940"
Chickamauga & Chattanooga NMP,"82,873"
Chickasaw NRA,"152,244"
Chiricahua NM,"3,190"
Christiansted NHS,"7,635"
City of Rocks NRES,"12,016"
Clara Barton NHS,122
Colonial NHP,"250,170"
Colorado NM,"48,970"
Congaree NP,"14,119"
Coronado NMEM,"10,944"
Cowpens NB,"17,174"
Crater Lake NP,"78,967"
Craters of the Moon NM & PRES,"35,110"
Cumberland Gap NHP,"69,709"
Cumberland Island NS,"3,278"
Curecanti NRA,"98,270"
Cuyahoga Valley NP,"327,857"
Dayton Aviation Heritage NHP,"6,422"
De Soto NMEM,"11,538"
Death Valley NP,"54,672"
Delaware Water Gap NRA,"518,829"
Denali NP & PRES,"43,372"
Devils Postpile NM,"32,881"
Devils Tower NM,"62,916"
Dinosaur NM,"39,688"
Dry Tortugas NP,"5,357"
Dwight D. Eisenhower MEM,"36,776"
Edgar Allan Poe NHS,"1,047"
Effigy Mounds NM,"4,874"
Eisenhower NHS,"4,609"
El Malpais NM,"15,360"
El Morro NM,"6,873"
Eleanor Roosevelt NHS,"1,566"
Eugene O'Neill NHS,"1,864"
Everglades NP,"61,057"
Federal Hall NMEM,"4,318"
Fire Island NS,"46,556"
First Ladies NHS,618
Flight 93 NMEM,"46,662"
Florissant Fossil Beds NM,"9,650"
Ford's Theatre NHS,"10,657"
Fort Bowie NHS,391
Fort Caroline NMEM,"24,773"
Fort Davis NHS,"2,829"
Fort Donelson NB,"15,999"
Fort Frederica NM,"16,458"
Fort Laramie NHS,"5,260"
Fort Larned NHS,"2,378"
Fort Matanzas NM,"56,559"
Fort McHenry NM & HS,"23,000"
Fort Necessity NB,"30,889"
Fort Point NHS,"83,288"
Fort Pulaski NM,"32,786"
Fort Raleigh NHS,"22,629"
Fort Scott NHS,"3,583"
Fort Smith NHS,"15,501"
Fort Stanwix NM,"7,087"
Fort Sumter and Fort Moultrie NHP,"26,937"
Fort Union NM,782
Fort Union Trading Post NHS,"1,751"
Fort Vancouver NHS,"74,660"
Fort Washington Park,"40,095"
Fossil Butte NM,"2,601"
Franklin Delano Roosevelt MEM,"235,617"
Frederick Douglass NHS,0
Frederick Law Olmsted NHS,"2,317"
Fredericksburg & Spotsylvania NMP,"62,085"
Friendship Hill NHS,"2,023"
Gates of the Arctic NP & PRES,"1,165"
Gateway Arch NP,"108,741"
Gateway NRA,"929,607"
Gauley River NRA,"50,789"
General Grant NMEM,"36,416"
George Rogers Clark NHP,"7,360"
George Washington Birthplace NM,"5,120"
George Washington Carver NM,"3,344"
George Washington MEM PKWY,"675,123"
Gettysburg NMP,"63,298"
Gila Cliff Dwellings NM,"4,318"
Glacier Bay NP & PRES,"80,309"
Glacier NP,"544,575"
Glen Canyon NRA,"284,793"
Golden Gate NRA,"1,311,460"
Golden Spike NHP,"5,175"
Governors Island NM,"5,336"
Grand Canyon NP,"439,611"
Grand Portage NM,"13,007"
Grand Teton NP,"441,995"
Grant-Kohrs Ranch NHS,"2,201"
Great Basin NP,"25,092"
Great Sand Dunes NP & PRES,"51,502"
Great Smoky Mountains NP,"1,315,818"
Greenbelt Park,0
Guadalupe Mountains NP,"14,204"
Guilford Courthouse NMP,"34,877"
Gulf Islands NS,"477,261"
Hagerman Fossil Beds NM,"2,841"
Haleakala NP,"95,674"
Hamilton Grange NMEM,"3,632"
Hampton NHS,872
Harpers Ferry NHP,"29,921"
Harry S Truman NHS,"2,618"
Hawaii Volcanoes NP,"118,565"
Herbert Hoover NHS,"9,451"
Home of Franklin D. Roosevelt NHS,"10,362"
Homestead NHP,"5,001"
Hopewell Culture NHP,"4,861"
Hopewell Furnace NHS,"6,367"
Horseshoe Bend NMP,"5,864"
Hot Springs NP,"112,049"
Hovenweep NM,"4,681"
Hubbell Trading Post NHS,"5,765"
Independence NHP,"252,723"
Indiana Dunes NP,"271,515"
Isle Royale NP,"2,849"
James A. Garfield NHS,"3,191"
Jean Lafitte NHP & PRES,"16,168"
Jewel Cave NM,"17,487"
Jimmy Carter NHP,"4,514"
"John D. Rockefeller, Jr. MEM PKWY","209,525"
John Day Fossil Beds NM,"19,483"
John F. Kennedy NHS,0
John Muir NHS,"2,220"
Johnstown Flood NMEM,"14,007"
Joshua Tree NP,"150,533"
Kalaupapa NHP,"3,404"
Kaloko Honokohau NHP,"20,517"
Katahdin Woods and Waters NM,"3,726"
Katmai NP & PRES,"5,734"
Kenai Fjords NP,"40,343"
Kennesaw Mountain NBP,"137,302"
Keweenaw NHP,"2,507"
Kings Canyon NP,"81,801"
Kings Mountain NMP,"16,753"
Klondike Gold Rush NHP Alaska,"50,273"
Klondike Gold Rush NHP Seattle,"6,368"
Knife River Indian Villages NHS,"1,360"
Kobuk Valley NP,"1,650"
Korean War Veterans Memorial,"318,797"
Lake Chelan NRA,"5,866"
Lake Clark NP & PRES,"1,986"
Lake Mead NRA,"531,104"
Lake Meredith NRA,"103,216"
Lake Roosevelt NRA,"91,801"
Lassen Volcanic NP,"53,204"
Lava Beds NM,"13,462"
LBJ Memorial Grove on the Potomac,"22,275"
Lewis & Clark NHP,"28,918"
Lincoln Boyhood NMEM,"10,819"
Lincoln Home NHS,"11,970"
Lincoln Memorial,"637,888"
Little Bighorn Battlefield NM,"12,008"
Little River Canyon NPRES,"53,967"
Little Rock Central High School NHS,"10,201"
Longfellow House Washington's HQ NHS,"6,266"
Lowell NHP,"7,359"
Lyndon B. Johnson NHP,"7,210"
Maggie L. Walker NHS,319
Mammoth Cave NP,"67,712"
Manassas NBP,"47,683"
Manhattan Project NHP,"3,429"
Manzanar NHS,"9,316"
Marsh-Billings-Rockefeller NHP,"8,923"
"Martin Luther King, Jr. Memorial","226,197"
"Martin Luther King, Jr. NHP","21,982"
Martin Van Buren NHS,"1,625"
Mary McLeod Bethune Council House NHS,155
Medgar and Myrlie Evers Home NM,530
Mesa Verde NP,"63,074"
Minidoka NHS,"1,572"
Minute Man NHP,"92,746"
Minuteman Missile NHS,"15,627"
Mississippi NRRA,"23,434"
Missouri NRR,"16,617"
Mojave NPRES,"31,080"
Monocacy NB,"10,127"
Montezuma Castle NM,"25,839"
Moores Creek NB,"4,030"
Morristown NHP,"9,393"
Mount Rainier NP,"295,701"
Mount Rushmore NMEM,"336,787"
Muir Woods NM,"68,495"
Natchez NHP,"4,043"
Natchez Trace PKWY,"579,633"
National Capital Parks Central,"93,321"
National Capital Parks East,"147,065"
National Park of American Samoa,106
Natural Bridges NM,"8,906"
Navajo NM,"4,405"
New Bedford Whaling NHP,"1,063"
New Orleans Jazz NHP,"1,490"
New River Gorge NP & PRES,"180,086"
Nez Perce NHP,"33,535"
Nicodemus NHS,395
Ninety Six NHS,"8,893"
Niobrara NSR,"7,912"
Noatak NPRES,"1,650"
North Cascades NP,"8,745"
Obed W&SR,"22,939"
Ocmulgee Mounds NHP,"20,414"
Olympic NP,"322,881"
Oregon Caves NM & PRES,"12,360"
Organ Pipe Cactus NM,"8,708"
Ozark NSR,"152,518"
Padre Island NS,"40,627"
Palo Alto Battlefield NHP,"16,391"
Paterson Great Falls NHP,"43,775"
Pea Ridge NMP,"7,061"
Pearl Harbor NMEM,"117,214"
Pecos NHP,"4,678"
Pennsylvania Avenue NHS,"7,826"
Perry's Victory & Intl. Peace MEM,"14,816"
Petersburg NB,"19,825"
Petrified Forest NP,"36,416"
Petroglyph NM,"23,320"
Pictured Rocks NL,"145,638"
Pinnacles NP,"13,898"
Pipe Spring NM,"2,524"
Pipestone NM,"10,280"
Piscataway Park,"21,206"
Point Reyes NS,"175,463"
Port Chicago Naval Magazine NMEM,62
President W.J. Clinton Birthplace Home NHS,455
President's Park,"27,177"
Prince William Forest Park,"30,665"
Pu'uhonua o Honaunau NHP,"27,620"
Pu'ukohola Heiau NHS,"2,365"
Rainbow Bridge NM,15
Reconstruction Era NHP,"1,047"
Redwood NP,"49,954"
Richmond NBP,"14,649"
Rio Grande W&SR,0
River Raisin NBP,"18,440"
Rock Creek Park,"177,547"
Rocky Mountain NP,"650,863"
Roger Williams NMEM,"3,528"
Rosie The Riveter WWII Home Front NHP,"2,702"
Ross Lake NRA,"159,447"
Russell Cave NM,"1,703"
Sagamore Hill NHS,"7,707"
Saguaro NP,"37,091"
Saint Croix Island IHS,"2,321"
Saint Croix NSR,"120,933"
Saint Paul's Church NHS,615
Saint-Gaudens NHP,"3,521"
Salem Maritime NHS,"39,338"
Salinas Pueblo Missions NM,"3,453"
Salt River Bay NHP & Ecological Pres,473
San Antonio Missions NHP,"124,912"
San Francisco Maritime NHP,"259,674"
San Juan Island NHP,"118,102"
San Juan NHS,"40,152"
Sand Creek Massacre NHS,487
Santa Monica Mountains NRA,"48,830"
Saratoga NHP,"8,112"
Saugus Iron Works NHS,"4,566"
Scotts Bluff NM,"21,023"
Sequoia NP,"127,041"
Shenandoah NP,"145,704"
Shiloh NMP,"29,004"
Sitka NHP,"18,417"
Sleeping Bear Dunes NL,"147,031"
Springfield Armory NHS,"1,542"
Statue of Liberty NM,"271,727"
Steamtown NHS,"8,621"
Stones River NB,"28,633"
Stonewall NM,"3,834"
Sunset Crater Volcano NM,"7,032"
Tallgrass Prairie NPRES,"3,136"
Thaddeus Kosciuszko NMEM,164
Theodore Roosevelt Birthplace NHS,887
Theodore Roosevelt Inaugural NHS,"2,023"
Theodore Roosevelt Island,"20,000"
Theodore Roosevelt NP,"114,280"
Thomas Edison NHP,"2,801"
Thomas Jefferson MEM,"182,141"
Thomas Stone NHS,602
Timpanogos Cave NM,"22,067"
Timucuan EHP,"80,000"
Tonto NM,"1,235"
Tule Springs Fossil Beds NM,"2,925"
Tumacacori NHP,"1,371"
Tuskegee Airmen NHS,"1,587"
Tuskegee Institute NHS,506
Tuzigoot NM,"8,090"
Ulysses S. Grant NHS,"3,478"
Upper Delaware S&RR,"40,464"
Valles Caldera NPRES,"10,330"
Valley Forge NHP,"160,919"
Vanderbilt Mansion NHS,"32,581"
Vicksburg NMP,"29,014"
Vietnam Veterans MEM,"358,935"
Virgin Islands NP,"8,607"
Voyageurs NP,"24,541"
Waco Mammoth NM,"6,898"
Walnut Canyon NM,"11,881"
War in the Pacific NHP,"30,232"
Washington Monument,"28,218"
Washita Battlefield NHS,"1,039"
Weir Farm NHP,"4,581"
Whiskeytown NRA,"110,372"
White House,"12,679"
White Sands NP,"50,331"
Whitman Mission NHS,"4,932"
William Howard Taft NHS,"2,446"
Wilson's Creek NB,"39,390"
Wind Cave NP,"83,314"
Wolf Trap NP for the Performing Arts,"66,424"
Women's Rights NHP,"4,098"
World War I Memorial,"73,416"
World War II Memorial,"421,067"
Wrangell-St. Elias NP & PRES,"5,359"
Wright Brothers NMEM,"41,459"
Wupatki NM,"23,900"
Yellowstone NP,"567,587"
Yosemite NP,"424,374"
Yukon-Charley Rivers NPRES,15
Zion NP,"423,654"
